IC_NGC_key,Type,Coordinates,Constellation,Axis,PosAng,V-Mag,SurfBr,Hubble,M,Common names
IC 1,**,00:08:27.05 +27:43:03.6,Pegasus, ,,,,,,
IC 2,G,00:11:00.88 -12:49:22.3,Cetus,0.98 0.32,142,,23.45,Sb,,
IC 3,G,00:12:06.09 -00:24:54.8,Pisces,0.93 0.67,53,,23.5,E,,
IC 4,G,00:13:26.94 +17:29:11.2,Pegasus,1.17 0.84,12,,23.01,Sc,,
IC 5,G,00:17:34.93 -09:32:36.1,Cetus,0.99 0.66,9,,23.4,E,,
IC 6,G,00:18:55.04 -03:16:33.9,Pisces,1.23 1.08,146,,23.89,E,,
IC 7,G,00:18:53.16 +10:35:40.9,Pisces,0.90 0.63,174,,23.22,S0,,
IC 8,G,00:19:02.72 -03:13:19.5,Pisces,0.82 0.34,129,,23.4,E?,,
IC 9,G,00:19:43.98 -14:07:18.8,Cetus,0.59 0.46,122,,22.88,Sa,,
IC 10,G,00:20:17.34 +59:18:13.6,Cassiopeia,6.76 6.03,129,10.35,24.53,IB,,
IC 11,Dup,00:52:59.35 +56:37:18.8,Cassiopeia, ,,,,,,
IC 12,G,00:20:15.05 -02:39:11.2,Pisces,0.96 0.32,20,,22.93,Sbc,,
IC 13,G,00:20:20.09 +07:42:01.8,Pisces,1.29 0.53,162,,23.53,Sbc,,
IC 14,**,00:22:31.29 +10:29:24.9,Pisces, ,,,,,,
IC 15,G,00:27:57.59 -00:03:40.6,Cetus,0.44 0.38,91,,22.85,SBb,,
IC 16,G,00:28:07.65 -13:05:38.1,Cetus,0.58 0.32,62,,23,S0-a,,
IC 17,G,00:28:29.78 +02:38:55.0,Cetus,0.67 0.54,102,,23.04,E?,,
IC 18,G,00:28:34.96 -11:35:12.1,Cetus,1.08 0.41,29,,23.62,Sb,,
IC 19,G,00:28:39.48 -11:38:26.8,Cetus,0.79 0.67,30,,23.52,E,,
IC 20,G,00:28:39.68 -13:00:37.1,Cetus,0.91 0.77,18,,23.41,S0,,
IC 21,G,00:29:10.43 -00:09:49.6,Cetus,0.49 0.45,6,,22.96,SBb,,
IC 22,G,00:29:33.17 -09:04:50.7,Cetus,0.81 0.44,45,,23.07,S0,,
IC 23,G,00:30:50.80 -12:43:12.9,Cetus,0.85 0.77,20,,23.52,E,,
IC 24,**,00:31:16.63 +30:50:21.5,Andromeda, ,,,,,,
IC 25,G,00:31:12.09 -00:24:26.5,Cetus,0.86 0.44,34,,23.68,S0-a,,
IC 26,Dup,00:31:45.94 -13:20:14.9,Cetus, ,,,,,,
IC 27,G,00:33:06.24 -13:22:17.4,Cetus,0.58 0.34,148,,23.37,,,
IC 28,G,00:33:08.72 -13:27:22.6,Cetus,0.30 0.22,85,,,E,,
IC 29,G,00:34:10.80 -02:10:39.5,Cetus,0.66 0.49,160,,23.75,E,,
IC 30,G,00:34:14.72 -02:05:04.5,Cetus,0.69 0.39,23,,23.71,S0-a,,
